epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4336.17,2.10489,4.10309,1.91408,0.18503,0.26011,0.13205,0.05262,2.01685,3.09126,1.82856,0.00027745,0.00027745,0.00027745
2,7624.79,1.96469,2.75152,1.79791,0.46342,0.21717,0.17845,0.07614,1.95669,2.59231,1.77057,0.00050016,0.00050016,0.00050016
3,10228.2,1.92621,2.54501,1.7735,0.21343,0.27326,0.17915,0.07881,1.91087,2.53863,1.77668,0.000667892,0.000667892,0.000667892
4,12822,1.87777,2.40787,1.73843,0.30636,0.31488,0.23289,0.10777,1.86242,2.31536,1.70121,0.000585599,0.000585599,0.000585599
5,15415.3,1.82447,2.28154,1.69479,0.3422,0.33977,0.26173,0.12104,1.80067,2.23744,1.66633,0.000503132,0.000503132,0.000503132
6,18218.5,1.76245,2.1634,1.63842,0.3642,0.39286,0.3206,0.15437,1.77291,2.09047,1.62438,0.000420665,0.000420665,0.000420665
7,21284.9,1.7275,2.07994,1.61618,0.39158,0.39411,0.34512,0.17105,1.74128,2.03239,1.61696,0.000338198,0.000338198,0.000338198
8,25713.5,1.68833,2.00361,1.58871,0.37008,0.41517,0.36958,0.18579,1.71747,1.95214,1.58961,0.000255731,0.000255731,0.000255731
9,32375.6,1.65409,1.92476,1.56122,0.41209,0.43566,0.38714,0.1997,1.69075,1.87665,1.56213,0.000173264,0.000173264,0.000173264
10,38942.8,1.60632,1.85272,1.52946,0.42536,0.44779,0.39513,0.20678,1.67079,1.84525,1.54627,9.0797e-05,9.0797e-05,9.0797e-05
